filename	description	labels
100030_classical_seed72.wav	classical	Meow,Cat,Domestic_animals_and_pets,Animal
100030_jazz_seed72.wav	jazz	Meow,Cat,Domestic_animals_and_pets,Animal
100030_pop_seed72.wav	pop	Meow,Cat,Domestic_animals_and_pets,Animal
101732_classical_seed72.wav	classical	Tap,Scissors,Human_group_actions,Domestic_sounds_and_home_sounds
101732_jazz_seed72.wav	jazz	Tap,Scissors,Human_group_actions,Domestic_sounds_and_home_sounds
101732_pop_seed72.wav	pop	Tap,Scissors,Human_group_actions,Domestic_sounds_and_home_sounds
101934_classical_seed72.wav	classical	Raindrop,Thunder,Rain,Water,Thunderstorm
101934_jazz_seed72.wav	jazz	Raindrop,Thunder,Rain,Water,Thunderstorm
101934_pop_seed72.wav	pop	Raindrop,Thunder,Rain,Water,Thunderstorm
102562_classical_seed72.wav	classical	Buzz,Insect,Wild_animals,Animal
102562_jazz_seed72.wav	jazz	Buzz,Insect,Wild_animals,Animal
102562_pop_seed72.wav	pop	Buzz,Insect,Wild_animals,Animal
102684_classical_seed72.wav	classical	Raindrop,Rain,Water
102684_jazz_seed72.wav	jazz	Raindrop,Rain,Water
102684_pop_seed72.wav	pop	Raindrop,Rain,Water
102952_classical_seed72.wav	classical	Stream,Trickle_and_dribble,Chirp_and_tweet,Insect,Water,Wild_animals,Animal,Pour,Liquid,Bird_vocalization_and_bird_call_and_bird_song,Bird
102952_jazz_seed72.wav	jazz	Stream,Trickle_and_dribble,Chirp_and_tweet,Insect,Water,Wild_animals,Animal,Pour,Liquid,Bird_vocalization_and_bird_call_and_bird_song,Bird
102952_pop_seed72.wav	pop	Stream,Trickle_and_dribble,Chirp_and_tweet,Insect,Water,Wild_animals,Animal,Pour,Liquid,Bird_vocalization_and_bird_call_and_bird_song,Bird
103073_classical_seed72.wav	classical	Chirp_and_tweet,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal
103073_jazz_seed72.wav	jazz	Chirp_and_tweet,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal
103073_pop_seed72.wav	pop	Chirp_and_tweet,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal
107842_classical_seed72.wav	classical	Drill,Power_tool,Tools
107842_jazz_seed72.wav	jazz	Drill,Power_tool,Tools
107842_pop_seed72.wav	pop	Drill,Power_tool,Tools
108536_classical_seed72.wav	classical	Chatter,Telephone,Human_group_actions,Alarm
108536_jazz_seed72.wav	jazz	Chatter,Telephone,Human_group_actions,Alarm
108536_pop_seed72.wav	pop	Chatter,Telephone,Human_group_actions,Alarm
108670_classical_seed72.wav	classical	Chirp_and_tweet,Chicken_and_rooster,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal,Fowl,Livestock_and_farm_animals_and_working_animals
108670_jazz_seed72.wav	jazz	Chirp_and_tweet,Chicken_and_rooster,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal,Fowl,Livestock_and_farm_animals_and_working_animals
108670_pop_seed72.wav	pop	Chirp_and_tweet,Chicken_and_rooster,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal,Fowl,Livestock_and_farm_animals_and_working_animals
110104_classical_seed72.wav	classical	Slam,Door,Domestic_sounds_and_home_sounds
110104_jazz_seed72.wav	jazz	Slam,Door,Domestic_sounds_and_home_sounds
110104_pop_seed72.wav	pop	Slam,Door,Domestic_sounds_and_home_sounds
110624_classical_seed72.wav	classical	Stream,Trickle_and_dribble,Water,Pour,Liquid
110624_jazz_seed72.wav	jazz	Stream,Trickle_and_dribble,Water,Pour,Liquid
110624_pop_seed72.wav	pop	Stream,Trickle_and_dribble,Water,Pour,Liquid
113175_classical_seed72.wav	classical	Wind
113175_jazz_seed72.wav	jazz	Wind
113175_pop_seed72.wav	pop	Wind
113176_classical_seed72.wav	classical	Wind
113176_jazz_seed72.wav	jazz	Wind
113176_pop_seed72.wav	pop	Wind
115251_classical_seed72.wav	classical	Thunder,Rain,Water,Thunderstorm
115251_jazz_seed72.wav	jazz	Thunder,Rain,Water,Thunderstorm
115251_pop_seed72.wav	pop	Thunder,Rain,Water,Thunderstorm
115535_classical_seed72.wav	classical	Bark,Dog,Domestic_animals_and_pets,Animal
115535_jazz_seed72.wav	jazz	Bark,Dog,Domestic_animals_and_pets,Animal
115535_pop_seed72.wav	pop	Bark,Dog,Domestic_animals_and_pets,Animal
117644_classical_seed72.wav	classical	Drawer_open_or_close,Domestic_sounds_and_home_sounds
117644_jazz_seed72.wav	jazz	Drawer_open_or_close,Domestic_sounds_and_home_sounds
117644_pop_seed72.wav	pop	Drawer_open_or_close,Domestic_sounds_and_home_sounds
118101_classical_seed72.wav	classical	Dog,Doorbell,Domestic_animals_and_pets,Animal,Door,Domestic_sounds_and_home_sounds,Alarm
118101_jazz_seed72.wav	jazz	Dog,Doorbell,Domestic_animals_and_pets,Animal,Door,Domestic_sounds_and_home_sounds,Alarm
118101_pop_seed72.wav	pop	Dog,Doorbell,Domestic_animals_and_pets,Animal,Door,Domestic_sounds_and_home_sounds,Alarm
118113_classical_seed72.wav	classical	Packing_tape_and_duct_tape,Domestic_sounds_and_home_sounds
118113_jazz_seed72.wav	jazz	Packing_tape_and_duct_tape,Domestic_sounds_and_home_sounds
118113_pop_seed72.wav	pop	Packing_tape_and_duct_tape,Domestic_sounds_and_home_sounds
118995_classical_seed72.wav	classical	Thunder,Rain,Water,Thunderstorm
118995_jazz_seed72.wav	jazz	Thunder,Rain,Water,Thunderstorm
118995_pop_seed72.wav	pop	Thunder,Rain,Water,Thunderstorm
119113_classical_seed72.wav	classical	Drip,Pour,Liquid
119113_jazz_seed72.wav	jazz	Drip,Pour,Liquid
119113_pop_seed72.wav	pop	Drip,Pour,Liquid
119462_classical_seed72.wav	classical	Crushing
119462_jazz_seed72.wav	jazz	Crushing
119462_pop_seed72.wav	pop	Crushing
119482_classical_seed72.wav	classical	Screech,Sliding_door,Door,Domestic_sounds_and_home_sounds
119482_jazz_seed72.wav	jazz	Screech,Sliding_door,Door,Domestic_sounds_and_home_sounds
119482_pop_seed72.wav	pop	Screech,Sliding_door,Door,Domestic_sounds_and_home_sounds
119558_classical_seed72.wav	classical	Coin_(dropping),Domestic_sounds_and_home_sounds
119558_jazz_seed72.wav	jazz	Coin_(dropping),Domestic_sounds_and_home_sounds
119558_pop_seed72.wav	pop	Coin_(dropping),Domestic_sounds_and_home_sounds
119779_classical_seed72.wav	classical	Crackle
119779_jazz_seed72.wav	jazz	Crackle
119779_pop_seed72.wav	pop	Crackle
119844_classical_seed72.wav	classical	Chink_and_clink,Glass
